hts,description,mfn_rate,unit,rate_text,ch99,rate_note
0101.21.00.10,"Live horses, asses, mules and hinnies:, Horses:, Purebred breeding animals, Males",0,No.,Free,9903.88.15,
0101.21.00.20,"Live horses, asses, mules and hinnies:, Horses:, Purebred breeding animals, Females",0,No.,Free,9903.88.15,
0101.29.00.10,"Live horses, asses, mules and hinnies:, Horses:, Other, Imported for immediate slaughter",0,No.,Free,9903.88.15,
0101.29.00.90,"Live horses, asses, mules and hinnies:, Horses:, Other, Other",0,No.,Free,9903.88.15,
0101.30.00.00,"Live horses, asses, mules and hinnies:, Asses",0.068,No.,6.8%,9903.88.15,
0101.90.30.00,"Live horses, asses, mules and hinnies:, Other:, Imported for immediate slaughter",0,No.,Free,9903.88.15,
0101.90.40.00,"Live horses, asses, mules and hinnies:, Other:, Other",0.045,No.,4.5%,9903.88.15,
0102.21.00.10,"Live bovine animals:, Cattle:, Purebred breeding animals, Dairy:, Male",0,No.,Free,9903.88.15,
0102.21.00.20,"Live bovine animals:, Cattle:, Purebred breeding animals, Dairy:, Female",0,No.,Free,9903.88.15,
0102.21.00.30,"Live bovine animals:, Cattle:, Purebred breeding animals, Other:, Male",0,No.,Free,9903.88.15,
0102.21.00.50,"Live bovine animals:, Cattle:, Purebred breeding animals, Other:, Female",0,No.,Free,9903.88.15,
0102.29.20.11,"Live bovine animals:, Cattle:, Other:, Cows imported specially for dairy purposes, Weighing less than 90 kg each",0,No.,Free,9903.88.15,
0102.29.20.12,"Live bovine animals:, Cattle:, Other:, Cows imported specially for dairy purposes, Weighing 90 kg or more each",0,No.,Free,9903.88.15,
0102.29.40.24,"Live bovine animals:, Cattle:, Other:, Other, Weighing less than 90 kg each:, Male",0,No.,1¢/kg,9903.88.15,"specific duty component not modelled: ""1¢/kg"""
0102.29.40.28,"Live bovine animals:, Cattle:, Other:, Other, Weighing less than 90 kg each:, Female",0,No.,1¢/kg,9903.88.15,"specific duty component not modelled: ""1¢/kg"""
0102.29.40.34,"Live bovine animals:, Cattle:, Other:, Other, Weighing 90 kg or more but less than 200 kg each:, Male",0,No.,1¢/kg,9903.88.15,"specific duty component not modelled: ""1¢/kg"""
0102.29.40.38,"Live bovine animals:, Cattle:, Other:, Other, Weighing 90 kg or more but less than 200 kg each:, Female",0,No.,1¢/kg,9903.88.15,"specific duty component not modelled: ""1¢/kg"""
0102.29.40.54,"Live bovine animals:, Cattle:, Other:, Other, Weighing 200 kg or more but less than 320 kg each:, Male",0,No.,1¢/kg,9903.88.15,"specific duty component not modelled: ""1¢/kg"""
0102.29.40.58,"Live bovine animals:, Cattle:, Other:, Other, Weighing 200 kg or more but less than 320 kg each:, Female",0,No.,1¢/kg,9903.88.15,"specific duty component not modelled: ""1¢/kg"""
0102.29.40.62,"Live bovine animals:, Cattle:, Other:, Other, Weighing 320 kg or more each:, For immediate slaughter:, Steers",0,No.,1¢/kg,9903.88.15,"specific duty component not modelled: ""1¢/kg"""
0102.29.40.64,"Live bovine animals:, Cattle:, Other:, Other, Weighing 320 kg or more each:, For immediate slaughter:, Bulls",0,No.,1¢/kg,9903.88.15,"specific duty component not modelled: ""1¢/kg"""
0102.29.40.66,"Live bovine animals:, Cattle:, Other:, Other, Weighing 320 kg or more each:, For immediate slaughter:, Cows",0,No.,1¢/kg,9903.88.15,"specific duty component not modelled: ""1¢/kg"""
0102.29.40.68,"Live bovine animals:, Cattle:, Other:, Other, Weighing 320 kg or more each:, For immediate slaughter:, Heifers",0,No.,1¢/kg,9903.88.15,"specific duty component not modelled: ""1¢/kg"""
0102.29.40.72,"Live bovine animals:, Cattle:, Other:, Other, Weighing 320 kg or more each:, For breeding:, Male",0,No.,1¢/kg,9903.88.15,"specific duty component not modelled: ""1¢/kg"""
0102.29.40.74,"Live bovine animals:, Cattle:, Other:, Other, Weighing 320 kg or more each:, For breeding:, Female",0,No.,1¢/kg,9903.88.15,"specific duty component not modelled: ""1¢/kg"""
0102.29.40.82,"Live bovine animals:, Cattle:, Other:, Other, Weighing 320 kg or more each:, Other:, Male",0,No.,1¢/kg,9903.88.15,"specific duty component not modelled: ""1¢/kg"""
0102.29.40.84,"Live bovine animals:, Cattle:, Other:, Other, Weighing 320 kg or more each:, Other:, Female",0,No.,1¢/kg,9903.88.15,"specific duty component not modelled: ""1¢/kg"""
0102.31.00.10,"Live bovine animals:, Buffalo:, Purebred breeding animals, Male",0,No.,Free,9903.88.15,
0102.31.00.20,"Live bovine animals:, Buffalo:, Purebred breeding animals, Female",0,No.,Free,9903.88.15,
0102.39.00.10,"Live bovine animals:, Buffalo:, Other, Bison",0,No.,1¢/kg,9903.88.15,"specific duty component not modelled: ""1¢/kg"""
0102.39.00.24,"Live bovine animals:, Buffalo:, Other, Other:, Weighing less than 90 kg each:, Male",0,No.,1¢/kg,9903.88.15,"specific duty component not modelled: ""1¢/kg"""
0102.39.00.28,"Live bovine animals:, Buffalo:, Other, Other:, Weighing less than 90 kg each:, Female",0,No.,1¢/kg,9903.88.15,"specific duty component not modelled: ""1¢/kg"""
0102.39.00.34,"Live bovine animals:, Buffalo:, Other, Other:, Weighing 90 kg or more but less than 200 kg each:, Male",0,No.,1¢/kg,9903.88.15,"specific duty component not modelled: ""1¢/kg"""
0102.39.00.38,"Live bovine animals:, Buffalo:, Other, Other:, Weighing 90 kg or more but less than 200 kg each:, Female",0,No.,1¢/kg,9903.88.15,"specific duty component not modelled: ""1¢/kg"""
0102.39.00.54,"Live bovine animals:, Buffalo:, Other, Other:, Weighing 200 kg or more but less than 320 kg each:, Male",0,No.,1¢/kg,9903.88.15,"specific duty component not modelled: ""1¢/kg"""
0102.39.00.58,"Live bovine animals:, Buffalo:, Other, Other:, Weighing 200 kg or more but less than 320 kg each:, Female",0,No.,1¢/kg,9903.88.15,"specific duty component not modelled: ""1¢/kg"""
0102.39.00.61,"Live bovine animals:, Buffalo:, Other, Other:, Weighing 320 kg or more each:, For immediate slaughter",0,No.,1¢/kg,9903.88.15,"specific duty component not modelled: ""1¢/kg"""
0102.39.00.72,"Live bovine animals:, Buffalo:, Other, Other:, Weighing 320 kg or more each:, For breeding:, Male",0,No.,1¢/kg,9903.88.15,"specific duty component not modelled: ""1¢/kg"""
