hts,description,mfn_rate,unit,keywords,source
8413.91.90.96,"Pumps for liquids, whether or not fitted with a measuring device; liquid elevators; part thereof:, Parts:, Of pumps:, Other, Other",0,kg,pump casing|pump part|impeller|pump housing|seal kit|pump parts|casing|impeller kit,"USITC hts_2026_rev_7.json general=""Free"""
8413.70.20.05,"Pumps for liquids, whether or not fitted with a measuring device; liquid elevators; part thereof:, Other centrifugal pumps:, Other, Other:, Single-stage, single-suction, close-coupled:, With discharge outlet under 5.08 c",0,No.,centrifugal pump|close-coupled pump|liquid pump|water pump,"USITC hts_2026_rev_7.json general=""Free"""
4016.93.50.50,"Other articles of vulcanized rubber other than hard rubber:, Other:, Gaskets, washers and other seals:, Other, Other",0.025,kg,rubber gasket|gasket|rubber seal|o-ring|washer rubber|rubber washer,"USITC hts_2026_rev_7.json general=""2.5%"""
0306.17.00.41,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; smoked crustaceans, whether in shell or not, whether or not cooked before or during the smoking process; crustaceans, in shel",0,kg,frozen shrimp|shrimp|prawn|peeled shrimp|frozen prawn,"USITC hts_2026_rev_7.json general=""Free"""
9503.00.00.73,"Tricycles, scooters, pedal cars and similar wheeled toys; dollsʼ carriages; dolls, other toys; reduced-scale (“scaleˮ) models and similar recreational models, working or not; puzzles of all kinds; parts and accessories t",0,No.,plush toy|stuffed toy|toy|soft toy|doll|teether|infant toy,"USITC hts_2026_rev_7.json general=""Free"""
2106.90.99.98,"Food preparations not elsewhere specified or included:, Other:, Other:, Other:, Other:, Other:, Other, Other:, Other:, Other:, Other",0.064,kg,dietary supplement|supplement|vitamin|capsule|gummies|protein powder,"USITC hts_2026_rev_7.json general=""6.4%"""
6912.00.48.10,"Ceramic tableware, kitchenware, other household articles and toilet articles, other than of porcelain or china:, Tableware and kitchenware:, Other:, Other:, Other:, Other, Suitable for food or drink contact",0.098,Dz Pcs,ceramic mug|ceramic bowl|ceramic plate|stoneware|tableware|ceramic tableware,"USITC hts_2026_rev_7.json general=""9.8%"""
8504.40.95.80,"Electrical transformers, static converters (for example, rectifiers) and inductors; parts thereof:, Static converters:, Other, Other",0,No.,power supply|power adapter|ac adapter|charger|static converter|usb charger,"USITC hts_2026_rev_7.json general=""Free"""
9405.11.60.10,"Luminaires and lighting fittings including searchlights and spotlights and parts thereof, not elsewhere specified or included; illuminated signs, illuminated nameplates and the like, having a permanently fixed light sour",0.076,No.,led lamp|led light|ceiling light|wall light|led fixture|led,"USITC hts_2026_rev_7.json general=""7.6%"""
8513.10.20.00,"Portable electric lamps designed to function by their own source of energy (for example, dry batteries, storage batteries, magnetos), other than lighting equipment of heading 8512; parts thereof:, Lamps:, Flashlights",0.125,No.,flashlight|torch|portable lamp|battery lamp|usb lamp|night light|rechargeable lamp,"USITC hts_2026_rev_7.json general=""12.5%"""
6110.20.20.79,"Sweaters, pullovers, sweatshirts, waistcoats (vests) and similar articles, knitted or crocheted:, Of cotton:, Other, Other:, Other:, Women's or girls':, Other (339)",0.165,doz.,cotton sweater|sweater|pullover|knitted cotton|cardigan,"USITC hts_2026_rev_7.json general=""16.5%"""
8471.30.01.00,"Automatic data processing machines and units thereof; magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, not elsewhere specified or included:,",0,No.,laptop|notebook computer|portable computer|chromebook,"USITC hts_2026_rev_7.json general=""Free"""
3926.90.99.89,"Other articles of plastics and articles of other materials of headings 3901 to 3914:, Other:, Other, Other",0.053,No. and kg,plastic article|plastic|plastic part|plastic housing|plastic bracket,"USITC hts_2026_rev_7.json general=""5.3%"""
7318.15.80.85,"Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter pins, washers (including spring washers) and similar articles, of iron or steel:, Threaded articles:, Other screws and bolts, whether or not with th",0.085,kg,steel bolt|hex bolt|bolt|screw|steel screw|fastener|hex head,"USITC hts_2026_rev_7.json general=""8.5%"""
8501.10.40.20,"Electric motors and generators (excluding generating sets):, Motors of an output not exceeding 37.5 W:, Of under 18.65 W:, Other, AC",0.044,No.,electric motor|small motor|dc motor|brushless motor,"USITC hts_2026_rev_7.json general=""4.4%"""
4202.92.31.31,"Trunks, suitcases, vanity cases, attache cases, briefcases, school satchels, spectacle cases, binocular cases, camera cases, musical instrument cases, gun cases, holsters and similar containers; traveling bags, insulated",0.176,No.,backpack|duffel bag|sports bag|textile bag|nylon bag|polyester bag,"USITC hts_2026_rev_7.json general=""17.6%"""
